City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Vila Franca Do Campo,PT,2021-05-27 21:12:14,37.7167,-25.4333,61.21,76,49,6.51
92,Conway,US,2021-05-27 21:12:14,35.0887,-92.4421,89.4,58,40,10.04
93,Norton Shores,US,2021-05-27 21:12:14,43.1689,-86.2639,59.4,56,90,5.01
94,Faanui,PF,2021-05-27 21:12:15,-16.4833,-151.75,80.53,71,37,13.13
95,Alihe,CN,2021-05-27 21:12:15,50.5667,123.7167,44.87,95,98,3.13
96,Tautira,PF,2021-05-27 21:12:15,-17.7333,-149.15,84.22,71,1,8.72
97,Margate,GB,2021-05-27 21:11:33,51.3813,1.3862,55.74,77,64,1.99
98,Cidreira,BR,2021-05-27 21:11:49,-30.1811,-50.2056,63.52,67,0,2.86
99,Dvinskoy,RU,2021-05-27 21:12:16,62.1535,45.1175,39.51,97,72,4.63
100,Mayor Pablo Lagerenza,PY,2021-05-27 21:09:15,-19.9309,-60.7718,90.18,36,93,9.98
101,Henties Bay,NA,2021-05-27 21:12:17,-22.116,14.2845,59.86,76,0,10.56
102,Ahvaz,IR,2021-05-27 21:12:17,31.3203,48.6693,93.15,18,0,6.91
103,Los Llanos De Aridane,ES,2021-05-27 21:12:17,28.6585,-17.9182,64.15,88,75,14.97
104,Kyra,RU,2021-05-27 21:12:18,49.5776,111.9753,38.19,64,50,4.09
105,Katsuura,JP,2021-05-27 21:12:18,35.1333,140.3,65.19,85,100,9.17
106,Butaritari,KI,2021-05-27 21:12:18,3.0707,172.7902,83.43,79,92,21.12
107,Iskateley,RU,2021-05-27 21:12:19,67.6803,53.1512,39.31,52,100,15.95
108,Tuatapere,NZ,2021-05-27 21:12:19,-46.1333,167.6833,44.11,93,100,3.15
109,Broome,US,2021-05-27 21:12:19,42.2506,-75.833,67.69,56,20,4.0
110,Shenjiamen,CN,2021-05-27 21:12:20,29.9576,122.298,68.4,94,100,14.45
111,Tottori,JP,2021-05-27 21:09:40,35.5,134.2333,60.15,85,0,8.05
112,Port Blair,IN,2021-05-27 21:12:20,11.6667,92.75,81.63,81,99,9.37
113,Geraldton,AU,2021-05-27 21:12:21,-28.7667,114.6,66.61,48,90,7.4
114,Padang,ID,2021-05-27 21:12:21,-0.9492,100.3543,77.36,85,100,3.65
115,Sabang,ID,2021-05-27 21:12:21,5.8933,95.3214,84.38,71,100,17.09
116,Isangel,VU,2021-05-27 21:12:22,-19.55,169.2667,72.59,54,58,4.27
117,Lazaro Cardenas,MX,2021-05-27 21:12:22,17.9583,-102.2,88.2,48,100,10.78
118,Kodiak,US,2021-05-27 21:12:22,57.79,-152.4072,51.31,66,1,6.91
119,Walvis Bay,NA,2021-05-27 21:12:23,-22.9575,14.5053,60.1,65,3,15.01
120,Eseka,CM,2021-05-27 21:12:23,3.65,10.7667,73.56,99,100,0.85
121,Turukhansk,RU,2021-05-27 21:12:23,65.8167,87.9833,37.65,94,100,11.32
122,Yellowknife,CA,2021-05-27 21:12:24,62.456,-114.3525,58.28,41,40,3.0
123,Kentau,KZ,2021-05-27 21:12:24,43.5206,68.5094,72.54,40,0,5.84
124,Bethel,US,2021-05-27 21:08:07,41.3712,-73.414,81.1,46,1,1.01
125,Leningradskiy,RU,2021-05-27 21:12:25,69.3833,178.4167,31.87,97,68,11.34
126,Acapulco,MX,2021-05-27 21:10:34,16.8634,-99.8901,89.42,55,75,9.55
127,Clyde River,CA,2021-05-27 21:12:25,70.4692,-68.5914,28.63,86,97,29.93
128,Port Elizabeth,ZA,2021-05-27 21:12:25,-33.918,25.5701,59.09,73,98,10.27
129,Santo Augusto,BR,2021-05-27 21:12:26,-27.8508,-53.7772,64.8,58,86,3.02
130,Yagodnoye,RU,2021-05-27 21:12:26,62.55,149.6667,44.4,74,60,4.76
131,Aykhal,RU,2021-05-27 21:12:26,66.0,111.5,44.56,87,100,8.77
132,Rio Gallegos,AR,2021-05-27 21:09:04,-51.6226,-69.2181,32.05,86,75,10.36
133,Puerto Colombia,CO,2021-05-27 21:08:14,10.9878,-74.9547,84.29,78,100,17.87
134,New Norfolk,AU,2021-05-27 21:11:37,-42.7826,147.0587,43.57,74,53,4.0
135,Salinas,US,2021-05-27 21:12:28,36.6777,-121.6555,86.0,61,1,13.8
136,Havre-Saint-Pierre,CA,2021-05-27 21:12:28,50.2334,-63.5986,46.96,57,13,28.95
137,Lebu,CL,2021-05-27 21:09:47,-37.6167,-73.65,55.27,83,0,9.31
138,Saint George,US,2021-05-27 21:12:29,37.1041,-113.5841,93.43,10,1,1.99
139,Saldanha,ZA,2021-05-27 21:12:30,-33.0117,17.9442,57.43,90,64,10.87
140,Hofn,IS,2021-05-27 21:12:30,64.2539,-15.2082,43.07,75,99,9.51
141,Rawson,AR,2021-05-27 21:12:30,-43.3002,-65.1023,57.34,39,82,21.94
142,Longyearbyen,SJ,2021-05-27 21:12:31,78.2186,15.6401,30.04,64,40,17.27
143,Khor,RU,2021-05-27 21:12:31,47.8861,134.9464,50.02,82,100,4.59
144,Yerbogachen,RU,2021-05-27 21:12:32,61.2767,108.0108,48.24,72,99,1.83
145,Christchurch,NZ,2021-05-27 21:11:48,-43.5333,172.6333,44.82,95,75,2.3
146,Marsa Matruh,EG,2021-05-27 21:12:32,31.3525,27.2453,69.73,76,0,11.81
147,Pangnirtung,CA,2021-05-27 21:11:49,66.1451,-65.7125,33.37,92,74,2.37
148,Ryotsu,JP,2021-05-27 21:12:33,38.0833,138.4333,60.55,87,39,17.11
149,Ostrovnoy,RU,2021-05-27 21:12:33,68.0531,39.5131,41.76,53,100,20.92
150,Shenkursk,RU,2021-05-27 21:12:33,62.1091,42.896,37.74,97,21,0.34
151,Kununurra,AU,2021-05-27 21:12:34,-15.7667,128.7333,73.38,33,7,11.5
152,Vila Velha,BR,2021-05-27 21:10:34,-20.3297,-40.2925,75.94,88,20,5.75
153,Machiques,VE,2021-05-27 21:12:34,10.0644,-72.545,88.09,63,61,8.97
154,Mabay,PH,2021-05-27 21:12:34,6.0577,124.4666,77.97,78,73,3.22
155,Cockburn Town,TC,2021-05-27 21:12:35,21.4612,-71.1419,79.21,77,8,13.6
156,Dikson,RU,2021-05-27 21:12:35,73.5069,80.5464,16.56,99,85,6.91
157,Sterling,US,2021-05-27 21:12:36,39.0062,-77.4286,86.77,43,40,10.36
158,Tiksi,RU,2021-05-27 21:11:42,71.6872,128.8694,34.36,93,100,5.41
159,Port Alfred,ZA,2021-05-27 21:12:36,-33.5906,26.891,62.04,80,96,13.56
160,Itoman,JP,2021-05-27 21:12:32,26.1247,127.6694,81.37,94,75,8.05
161,Ambon,ID,2021-05-27 21:12:37,-3.6954,128.1814,78.94,83,40,12.33
162,Kimbe,PG,2021-05-27 21:12:37,-5.5502,150.1429,76.3,89,86,5.17
163,Xining,CN,2021-05-27 21:12:37,36.6167,101.7667,55.71,42,99,2.08
